ORDER_ITEM_UID,ORDER_NUM,ORDER_ITEM_CREATION_TS,TRADER_BOB_CD1,EFFECTIVE_TS1,ORDER_ITEM_STAT_CD1,TRADER_BOB_CD2,EFFECTIVE_TS2,ORDER_ITEM_STAT_CD2,ACCT_BOB_CD,SECRTY_TYPE_CD,ACTION_TYPE_CD,ORDER_TYPE_CD,DURATN_TYPE_CD,NEXT_DAY_ORDER_IND,ORDER_STRTGY_CD,ORDER_PRICE_PLAN_CD,FTNOTE_TRAIL_2_TXT
14143,V-03021,'2017-02-26 11:47:19.00000',RMP1,'2017-03-02 09:06:23.59119',LOCKED,RMP1,'2017-03-02 09:06:25.75288',WAITING,RMP1,EQUITY,SELL,LIMIT,GTD,N,SPL,NULL,V-03021/CH.WEB/ET.LIM
20024,Q-02902,'2017-03-02 09:30:10.00000',RMPA,'2017-03-02 09:30:33.49393',LOCKED,RMPA,'2017-03-02 09:30:50.85788',FILLED,RMPA,EQUITY,BUY,LIMIT,DAY,N,OCO,NULL,Q-02902/CH.WBR/ET.LIM
20031,C-03078,'2017-03-02 09:30:58.00000',RM02,'2017-03-02 09:31:20.23957',LOCKED,RM02,'2017-03-02 09:32:57.14060',FILLED,RM02,EQUITY,BUY,MARKET,DAY,N,OCO,NULL,C-03078/CH.WBR/ET.LIM
20031,I-03091,'2017-03-02 09:30:51.00000',RM03,'2017-03-02 09:31:24.38811',LOCKED,RM03,'2017-03-02 09:31:37.79337',OPEN,RM03,EQUITY,SELL,LIMIT,DAY,N,OTA,NULL,I-03091/CH.WBR/ET.LIM
20047,Y-03075,'2017-03-02 09:32:44.00000',RMP1,'2017-03-02 09:33:12.69169',LOCKED,RMP1,'2017-03-02 09:33:37.15479',OPEN,RMP1,OPTION,SELL_TO_CLOSE,LIMIT,DAY,N,OTA,NULL,Y-03075/CH.WBR/ET.LIM
20047,C-02964,'2017-03-02 09:32:55.00000',RM05,'2017-03-02 09:33:23.69628',LOCKED,RM05,'2017-03-02 09:42:46.42099',FILLED,RM05,EQUITY,BUY,MARKET,DAY,N,FTO,NULL,C-02964/CH.MBL/ET.LIM
20009,K-02905,'2017-03-02 09:27:06.00000',RM06,'2017-03-02 09:33:39.83771',LOCKED,RM06,'2017-03-02 09:33:40.65325',ACTIVE,RM06,OPTION,BUY_TO_OPEN,NULL,DAY,N,FTO,NULL,K-02905/CH.MBL/ET.LIM
20009,W-02933,'2017-03-02 09:27:06.00000',RMP1,'2017-03-02 09:33:39.83771',LOCKED,RMP1,'2017-03-02 09:33:40.65325',ACTIVE,RMP1,OPTION,SELL_TO_OPEN_COVERED,NULL,DAY,N,SPL,NULL,W-02933/CH.MBL/ET.LIM
20093,A-03056,'2017-03-02 09:38:07.00000',RM08,'2017-03-02 09:38:29.80205',LOCKED,RM08,'2017-03-02 09:39:10.23986',FILLED,RM08,EQUITY,SHORT_SELL,LIMIT,DAY,N,SPL,NULL,A-03056/CH.WBR/ET.LIM
20096,U-02937,'2017-03-02 09:38:32.00000',RM09,'2017-03-02 09:39:35.11591',LOCKED,RM09,'2017-03-02 09:39:42.64019',WAITING,RM09,EQUITY,BUY,LIMIT,DAY,N,SPL,NULL,U-02937/CH.MBL/ET.LIM
21858,O-02984,'2017-03-03 06:50:25.00000',RM17,'2017-03-03 09:00:15.18026',LOCKED,RM17,'2017-03-03 09:00:16.95841',WAITING,RM17,EQUITY,SELL,LIMIT,GTEM,N,SPL,NULL,O-02984/CH.WBR/ET.LIM
21528,Q-02958,'2017-03-02 17:39:59.00000',RMP2,'2017-03-03 09:03:07.11680',LOCKED,RMP2,'2017-03-03 09:04:52.99126',OPEN,RMP2,EQUITY,SELL,LIMIT,GTD,N,SPL,NULL,Q-02958/CH.ATT/ET.MKT
21968,H10290,'2017-03-03 09:30:54.00000',RMP3,'2017-03-03 09:31:43.10138',LOCKED,RMP3,'2017-03-03 09:32:00.41367',OPEN,RMP3,EQUITY,BUY,LIMIT,DAY,N,SPL,NULL,H1029/CH.TALK/ET.MKT
21966,O-02955,'2017-03-03 09:30:35.00000',RMP4,'2017-03-03 09:31:43.78976',LOCKED,RMP4,'2017-03-04 01:28:13.67064',CANCELLED,RMP4,EQUITY,BUY,MARKET,DAY,N,MLO,NET_DEBIT,O-02955/CH.WBR/ET.LIM
21973,A-02922,'2017-03-03 09:31:54.00000',RMP5,'2017-03-03 09:32:19.84548',LOCKED,RMP5,'2017-03-03 13:53:17.12621',KILLED,RMP5,EQUITY,BUY,LIMIT,GTD,N,MLO,NET_DEBIT,A-02922/CH.WBR/ET.LIM
21990,W-02950,'2017-03-03 09:34:35.00000',RM22,'2017-03-03 09:34:45.62501',LOCKED,RM22,'2017-03-03 09:35:02.36221',OPEN,RM22,OPTION,BUY_TO_OPEN,LIMIT,DAY,N,SPL,NULL,W-02950/CH.TMAX/ET.LIM
21997,L-03060,'2017-03-03 09:35:42.00000',RM23,'2017-03-03 09:36:01.14221',LOCKED,RM23,'2017-03-04 01:15:42.02368',OPEN,RM23,EQUITY,BUY,MARKET,DAY,N,SPL,NULL,L-03060/CH.WBR/ET.MKT
21999,H-02975,'2017-03-03 09:35:59.00000',RMP1,'2017-03-03 09:36:16.17137',LOCKED,RMP1,'2017-03-03 09:37:35.49755',OPEN,RMP1,EQUITY,BUY,LIMIT,DAY,N,SPL,NULL,H-02975/CH.ATT/ET.LIM
21999,Z-03067,'2017-03-03 09:35:56.00000',RM25,'2017-03-03 09:36:33.64546',LOCKED,RM25,'2017-03-03 09:36:55.54374',OPEN,RM25,EQUITY,BUY,LIMIT,DAY,N,SPL,NULL,Z-03067/CH.WBR/ET.MKT
22018,U-02674,'2017-03-03 09:38:58.00000',RM26,'2017-03-03 09:39:15.87505',LOCKED,RM26,'2017-03-03 09:42:58.37711',FILLED,RM26,OPTION,BUY_TO_OPEN,LIMIT,DAY,N,SPL,NULL,U-02674/CH.TBL/ET.LIM
