ORDER_ITEM_UID,ORDER_NUM,ORDER_ITEM_CREATION_TS,TRADER_BOB_CD1,EFFECTIVE_TS1,ORDER_ITEM_STAT_CD1,TRADER_BOB_CD2,EFFECTIVE_TS2,ORDER_ITEM_STAT_CD2,ACCT_BOB_CD,SECRTY_TYPE_CD,ACTION_TYPE_CD,ORDER_TYPE_CD,DURATN_TYPE_CD,NEXT_DAY_ORDER_IND,ORDER_STRTGY_CD,ORDER_PRICE_PLAN_CD,FTNOTE_TRAIL_2_TXT
97737,V-03021,'2017-03-02 01:46:44.00000',RMP1,'2017-03-02 01:46:44.11186',WAITING,RMP1,'2017-03-02 08:34:27.10520',OPEN,RMP1,EQUITY,SELL,LIMIT,DAY,Y,SPL,NULL,V-03021/CH.WEB/ET.LIM
97745,Q-02902,'2017-03-02 01:58:35.00000',RMPA,'2017-03-02 01:58:39.72073',WAITING,RMPA,'2017-03-02 08:35:30.85929',OPEN,RMPA,OPTION,SELL_TO_OPEN_COVERED,LIMIT,GTD,Y,OCO,NULL,Q-02902/CH.WBR/ET.LIM
97747,C-03078,'2017-03-02 02:02:02.00000',RM02,'2017-03-02 02:02:02.25253',WAITING,RM02,'2017-03-02 02:03:40.57136',INACTIVE,RM02,EQUITY,SELL,LIMIT,DAY,Y,OCO,NULL,C-03078/CH.WBR/ET.LIM
97748,I-03091,'2017-03-02 02:03:12.00000',RM03,'2017-03-02 02:03:12.77101',WAITING,RM03,'2017-03-02 08:34:31.09414',OPEN,RM03,EQUITY,SELL,TRAILING_STOP_MARKET,DAY,Y,OTA,NULL,I-03091/CH.WBR/ET.LIM
97748,Y-03075,'2017-03-02 02:05:47.00000',RMP1,'2017-03-02 02:05:51.15696',WAITING,RMP1,'2017-03-02 07:49:24.99587',OPEN,RMP1,EQUITY,SELL,LIMIT,GTEM,Y,OTA,NULL,Y-03075/CH.WBR/ET.LIM
97750,C-02964,'2017-03-02 02:09:22.00000',RM05,'2017-03-02 02:09:26.63121',WAITING,RM05,'2017-03-02 08:34:14.38350',OPEN,RM05,EQUITY,BUY,LIMIT,DAY,Y,FTO,NULL,C-02964/CH.MBL/ET.LIM
97750,K-02905,'2017-03-02 02:10:09.00000',RM06,'2017-03-02 02:10:09.56791',WAITING,RM06,'2017-03-02 08:34:15.82053',OPEN,RM06,EQUITY,BUY,STOP_MARKET,DAY,Y,FTO,NULL,K-02905/CH.MBL/ET.LIM
97751,W-02933,'2017-03-02 02:11:16.00000',RMP1,'2017-03-02 02:11:17.00754',WAITING,RMP1,'2017-03-02 08:33:49.24232',OPEN,RMP1,EQUITY,SELL,STOP_LIMIT,DAY,Y,SPL,NULL,W-02933/CH.MBL/ET.LIM
97751,A-03056,'2017-03-02 02:11:38.00000',RM08,'2017-03-02 02:11:42.47022',WAITING,RM08,'2017-03-02 08:30:01.47409',KILLED,RM08,EQUITY,BUY,LIMIT,GTD,Y,SPL,NULL,A-03056/CH.WBR/ET.LIM
97751,U-02937,'2017-03-02 02:12:14.00000',RM09,'2017-03-02 02:12:18.60284',WAITING,RM09,'2017-03-02 08:33:57.82463',OPEN,RM09,EQUITY,SELL,TRAILING_STOP_LIMIT,DAY,Y,SPL,NULL,U-02937/CH.MBL/ET.LIM
13987,O-02984,'2017-03-03 00:14:53.00000',RM17,'2017-03-03 00:14:57.50810',WAITING,RM17,'2017-03-03 08:28:42.34995',OPEN,RM17,OPTION,BUY_TO_OPEN,LIMIT,GTD,Y,SPL,NULL,O-02984/CH.WBR/ET.LIM
13995,Q-02958,'2017-03-03 00:24:39.00000',RMP2,'2017-03-03 00:24:43.46041',WAITING,RMP2,'2017-03-03 08:29:34.36501',OPEN,RMP2,EQUITY,BUY,MARKET,DAY,Y,SPL,NULL,Q-02958/CH.ATT/ET.MKT
